,train_netrmse,test_rmse,test_mape,train_rmse,val_rmse,train_mape,val_mape,train_diff,val_diff,DropoutProp,activationFunction,batchSize,epochSize,exec_time,hiddenLayers,hiddenNodes,l1Penalty,learningRate,loss,optimizer,standardizationType,status,timeWindow,useHoliday,useWeekday,weightInit
8691,0.120912728649,14075.5945997,0.172575036759,8677.63693718,10804.3435232,0.0825632991146,0.103919840326,0.0229745662642,-0.00898672874446,0.0179944181645,sigmoid,35,30,151.152864218,1,300,3.34819574285e-08,0.00224308041017,10804.3435232,adam,zscore,ok,36,False,True,normal
7605,0.122605157107,14096.7061271,0.172652753123,8651.71082592,10806.3018694,0.0824021270235,0.103753130797,0.0218258361303,-0.0108115586825,0.0129188427231,sigmoid,35,30,178.625215054,1,300,8.43967416912e-08,0.00215095782069,10806.3018694,adam,zscore,ok,34,False,True,normal
7089,0.122646434195,14090.351794,0.173064210696,8757.62285958,10809.3509027,0.0832256759781,0.103913203577,0.0229655367283,-0.00990162338515,0.0148597002499,sigmoid,35,30,184.078114986,1,300,5.59184786848e-08,0.00200566685677,10809.3509027,adam,zscore,ok,62,False,True,normal
9785,0.118907030233,14051.1651655,0.173124138716,8612.26881646,10810.4262796,0.0826776401825,0.104091417178,0.0236282860872,-0.00825068955805,0.0100995396332,sigmoid,35,30,212.9052701,1,300,5.25484756621e-08,0.00261974564854,10810.4262796,adam,zscore,ok,46,False,True,normal
9158,0.119411521796,14075.61956,0.172905522455,8596.10384431,10810.7283247,0.0822528853118,0.103861053041,0.0224891525469,-0.00937606161416,0.0121507021981,sigmoid,35,30,158.000180006,1,300,4.37157437755e-08,0.00241414904381,10810.7283247,adam,zscore,ok,43,False,True,normal
9326,0.121915518321,14103.5520625,0.172849334781,8697.4243977,10817.4194224,0.0828818868335,0.103926376862,0.0228299311978,-0.00987952687055,0.0204612888941,sigmoid,35,30,147.858786106,1,300,3.40557683774e-08,0.00212845895974,10817.4194224,adam,zscore,ok,38,False,True,normal
10643,0.121545245735,14027.682425,0.173027772485,8678.33937,10817.4830574,0.0828652002288,0.103616747226,0.0212586503722,-0.0106112183937,0.0106621670886,sigmoid,33,30,198.4517591,1,300,3.29417234943e-08,0.00173474905325,10817.4830574,adam,zscore,ok,62,False,True,normal
7743,0.122277292415,14062.0758218,0.172379726063,8574.68797084,10820.3981497,0.0824280806597,0.103499599633,0.0210488832668,-0.0112179739741,0.013088954748,sigmoid,32,30,156.597500086,1,300,7.03864833962e-08,0.00188435088787,10820.3981497,adam,zscore,ok,49,False,True,normal
6551,0.120594069922,14061.3577998,0.173011882323,8709.60161733,10820.8752779,0.0829698208482,0.103789212512,0.0219507462411,-0.0102585015776,0.0107064991411,sigmoid,34,30,182.064176798,1,300,4.29346160221e-08,0.00196662051861,10820.8752779,adam,zscore,ok,61,False,True,normal
8436,0.119426313954,14047.6615961,0.172155021759,8606.62168884,10822.4093151,0.0820846885021,0.103772900766,0.0221227106775,-0.00958602012495,0.0128761190144,sigmoid,34,30,160.94292593,1,300,5.28561984209e-08,0.00224543304198,10822.4093151,adam,zscore,ok,41,False,True,normal
