,DropoutProp,activationFunction,batchSize,earlyStopping,epochSize,exec_time,hiddenLayers,hiddenNodes,indexID,l1Penalty,learningRate,noFillZero,optimizer,standardizationType,stationIDs,test_mape,test_rmse,timeWindow,train_mape,train_rmse,useHoliday,useWeekday,val_mape,val_rmse,weightInit
968,0.001,relu,1,True,15,336.584614038,2,80,968,1e-06,0.001,True,adam,zscore,13,0.185973181065,15999.6658292,5,0.0908463543689,9852.89560309,True,True,0.119341501108,13537.7031256,lecun_uniform
58,0.001,relu,1,True,15,1067.60348487,2,61,58,1e-06,0.001,True,adam,zscore,13,0.185333468104,15654.5757751,168,0.093132778767,10110.3460913,True,True,0.119090314963,13538.0610189,lecun_uniform
215,0.001,relu,1,True,15,2378.72424293,2,218,215,1e-06,0.001,True,adam,zscore,13,0.189717137452,15959.4923605,168,0.0953081887534,10339.9560375,True,True,0.120796797956,13541.464395,lecun_uniform
1124,0.001,relu,1,True,15,1191.33628702,2,80,1124,1e-06,0.001,True,adam,zscore,13,0.190019620541,15802.145883,161,0.0945088199617,10287.4109746,True,True,0.120209892178,13542.3508183,lecun_uniform
1025,0.001,relu,1,True,15,554.561589003,2,80,1025,1e-06,0.001,True,adam,zscore,13,0.186034885826,15903.4507434,62,0.0923473649536,10196.8427812,True,True,0.118820954365,13545.1086255,lecun_uniform
259,0.001,relu,1,True,15,2479.437603,2,262,259,1e-06,0.001,True,adam,zscore,13,0.185257943712,15851.6791748,168,0.0933480784667,10178.3698908,True,True,0.119196251285,13545.9728331,lecun_uniform
138,0.001,relu,1,True,15,2339.99505377,2,141,138,1e-06,0.001,True,adam,zscore,13,0.190479364997,15742.3612339,168,0.100377091335,10847.4124246,True,True,0.12272741852,13549.2756644,lecun_uniform
89,0.001,relu,1,True,15,1631.1373539,2,92,89,1e-06,0.001,True,adam,zscore,13,0.188458345181,15864.7743127,168,0.0946906339105,10246.6763294,True,True,0.120459164465,13551.7265722,lecun_uniform
21,0.001,relu,1,True,15,836.650971889,2,24,21,1e-06,0.001,True,adam,zscore,13,0.189079504093,15842.5853946,168,0.0994254075633,10604.7131738,True,True,0.121727105633,13552.1357335,lecun_uniform
217,0.001,relu,1,True,15,2038.99566388,2,220,217,1e-06,0.001,True,adam,zscore,13,0.189013243513,15846.5133524,168,0.0970203967903,10478.0842674,True,True,0.121968179172,13553.4588564,lecun_uniform
368,0.001,relu,1,True,15,1129.00227618,2,80,368,0.0001,0.001,True,adam,zscore,13,0.193962577084,15781.7194397,168,0.104450468446,11016.315581,True,True,0.125251992191,13554.3446035,lecun_uniform
683,0.0627,relu,1,True,15,1167.20845699,2,80,683,1e-06,0.001,True,adam,zscore,13,0.190474528051,15823.7765572,168,0.100514047827,10714.7779609,True,True,0.123227077211,13555.4341125,lecun_uniform
181,0.001,relu,1,True,15,2299.09489703,2,184,181,1e-06,0.001,True,adam,zscore,13,0.189301211619,15705.6764739,168,0.101004827806,10686.1350764,True,True,0.123986697174,13556.776862,lecun_uniform
1084,0.001,relu,1,True,15,858.622351885,2,80,1084,1e-06,0.001,True,adam,zscore,13,0.188990697711,15996.2050404,121,0.095636663249,10429.6959855,True,True,0.120928699515,13566.557154,lecun_uniform
1001,0.001,relu,1,True,15,413.275955915,2,80,1001,1e-06,0.001,True,adam,zscore,13,0.18699540333,15994.7259247,38,0.0926670359691,10049.4022313,True,True,0.118918753926,13567.1881266,lecun_uniform
1306,0.001,relu,8,True,15,277.868688822,2,80,1306,1e-06,0.001,True,adam,zscore,13,0.190991172418,15957.3984557,168,0.0955893951671,10215.1255464,True,True,0.122280835231,13568.1282961,lecun_uniform
993,0.001,relu,1,True,15,381.542779922,2,80,993,1e-06,0.001,True,adam,zscore,13,0.188060557931,16031.3998507,30,0.0922022540954,10044.9329977,True,True,0.119173625604,13569.5659455,lecun_uniform
1050,0.001,relu,1,True,15,660.70430088,2,80,1050,1e-06,0.001,True,adam,zscore,13,0.189937652729,16290.1039681,87,0.0921596241828,10048.7680757,True,True,0.118766493012,13571.8912992,lecun_uniform
